simple_name,full_name,title,lore,blurb,key_id,ally_tips,enemy_tips,resource,tags,attack_rating,defense_rating,difficulty_rating,magic_rating,passive_name,passive_description,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
irelia,Irelia,the Blade Dancer,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of deadly blades. After proving herself as a fighter, she was thrust into the role of resistance leader and figurehead, and to this day remains dedicated to the preservation of her homeland.","The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...",39,"Use Bladesurge to cover great distances by targeting low life minions on your way to champion targets._Defiant Dance is not interrupted by crowd control, try timing it for incoming disables._Flawless Duet does not have a maximum travel distance, try using it in creative ways.","Pay attention to Ionian Fervor stacks and try to engage Irelia when it is down._Minion waves greatly enhance Irelia's mobility, beware fighting her inside one._Beware of wasting your high impact spells on Defiant Dance.",Mana,Fighter_Assassin,7,4,5,5,Ionian Fervor,When Irelia strikes enemies with spells she gains stacking bonus Attack Speed. At maximum stacks she also gains bonus damage on hit.,520.0,110,350.0,50.0,335,36,3.0,28.0,1.25,200,8.5,0.85,8.0,0.8,0,0,65.0,4.0,2.5,0.656
ivern,Ivern,the Green Father,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow, fly, and scuttle. Ivern wanders the wilderness, imparting strange wisdom to any he meets, enriching the forests, and occasionally entrusting loose-lipped butterflies with his secrets.","Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...",427,Try to help allies follow up a good Rootcaller hit with Triggerseed!_Use Brushmaker to set up future ambush spots!_Daisy can block skillshots and slow down enemies. Use her to peel for your teammates!,Ivern can be deceptively slippery. Be careful chasing him too far._Ivern's brush has a long duration. Watch out for ambushes!_Be careful when fighting Ivern alone if he has Daisy ready to help!,Mana,Support_Mage,3,5,7,7,Friend of the Forest,"Ivern cannot attack or be attacked by non-epic monsters. Ivern can create magical groves on jungle camps which grow over time. When the grove is fully grown, Ivern may free the monsters to receive gold and experience. After level 5 Ivern can share jungle buffs with allies.",585.0,85,450.0,60.0,330,27,3.5,32.0,1.25,475,7.0,0.85,6.0,0.75,0,0,50.0,3.0,3.4,0.644
janna,Janna,the Storm's Fury,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated treacherous waters and braved rough tempests. Her favor and protection has since been called into the depths of Zaun, where Janna has become a beacon of hope to those in need. No one knows where or when she will appear, but more often than not, she's come to help.","Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...",40,Eye of the Storm can be used on allied turrets._Quickly firing a Howling Gale without the charge up can be used to heavily disable the other team._Timing Janna's ultimate can push enemies away from a wounded ally or even separate enemies.,"Save an interrupt ability for when Janna uses her ultimate._Listen for the charge up sound on Howling Gale in case Janna is trying to hit you with it from off screen or from brush._Janna's at her strongest when buffing another ally. If you can harass her ally, it will weaken her ability to fight you.",Mana,Support_Mage,3,5,7,7,Tailwind,"Janna passively gains bonus Move Speed, and nearby allied champions gain this bonus when moving toward her.<br><br>Additionally, Janna's basic attacks cause additional magic damage based on her bonus Move Speed.",500.0,70,350.0,64.0,315,28,3.8,30.0,0.5,550,5.5,0.55,11.5,0.4,0,0,46.0,1.5,2.95,0.625
jarvaniv,Jarvan IV,the Exemplar of Demacia,"Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front lines. Jarvan inspires his troops with his fearsome courage and selfless determination, raising his family's colors high and revealing his true strength as a future leader of his people.","Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...",59,You can use the Dragon Strike / Demacian Standard combo to get out of your own Cataclysm arenas._Split your basic attacks on different champions at the beginning of fights to maximize damage._Use Demacian Standard as a scouting tool when worried about incoming enemies.,"Keep out of the path between Jarvan IV and his Demacian Standard to avoid being knocked up in the air._Cataclysm's terrain is a frightening force to fight against, but movement abilities can go through it.",Mana,Tank_Fighter,6,8,5,3,Martial Cadence,Jarvan's first basic attack on an enemy deals bonus physical damage based on their current Health. This effect cannot occur again on the same enemy for a few seconds.,570.0,90,300.0,40.0,340,34,3.6,32.0,1.25,175,8.0,0.7,6.5,0.45,0,0,64.0,3.4,2.5,0.658
jax,Jax,Grandmaster at Arms,"Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained. As magic now rises in the world, this slumbering threat stirs once more, and Jax roams Valoran, wielding the last light of Icathia and testing all warriors he meets to see if any are strong enough to stand beside him...","Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...",24,"Jax can Leap Strike to friendly units, including wards. You can use them to plan your escape._Jax benefits greatly from items that have both Ability Power and Attack Damage such as Guinsoo's Rageblade and Hextech Gunblade.",Try to engage him in short bursts instead of going toe-to-toe with him. Preventing him from attacking consecutively drastically lowers his damage output._Jax can dodge all incoming attacks for a very short amount of time and stuns enemies in melee range when it ends. Wait to strike him until after his dodge is finished.,Mana,Fighter_Assassin,7,5,5,7,Relentless Assault,Jax's consecutive basic attacks continuously increase his Attack Speed.,593.0,85,339.0,52.0,350,36,3.0,32.0,1.25,125,8.5,0.55,7.58,0.7,0,0,68.0,4.25,3.4,0.638
jayce,Jayce,the Defender of Tomorrow,"Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his hometown. While revered throughout the city as a hero, he hasn't taken well to the attention heroism brings. Still, Jayce's heart is in the right place, and even those who envy his natural skills are grateful for his protection in the City of Progress.","Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...",126,"Be sure to switch stances often. It will enhance your attacks and grant you quick bursts of speed._If you find yourself taking lots of damage, try using Jayce's Hammer Stance, as it grants you additional defenses._For increased range and damage, try casting Shock Blast through the Acceleration Gate.","Jayce can attack in melee or at range. Pay attention to his stance and weapon color to know how he is going to attack._If you see Jayce drop his Acceleration Gate, be careful, he is probably about to cast Shock Blast._Jayce is strong in the early game. If he gains the advantage, play defensively.",Mana,Fighter_Marksman,8,4,7,3,Hextech Capacitor,When Jayce swaps weapons he gains movement speed for a short duration.,560.0,90,375.0,45.0,335,27,3.5,30.0,0.5,125,6.0,0.6,6.0,0.8,0,0,54.0,4.25,3.0,0.658
jhin,Jhin,the Virtuoso,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin creates works of artistic brutality, horrifying victims and onlookers. He gains a cruel pleasure from putting on his gruesome theater, making him the ideal choice to send the most powerful of messages: terror.","Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...",202,Deadly Flourish has incredible range. When approaching a fight be sure to look ahead for enemies that could be rooted._Your ultimate deals significantly less damage to enemies with full health. Look to pick off weakened targets as they run away._You can still cast your spells while reloading. Use them to fill the down time.,"Deadly Flourish only roots those hit by one of Jhin's basic attacks, traps, or allies within the last 4 seconds._Jhin places invisible traps around the map. Watch where you step!_Jhin's attacks are quite potent, but he runs out of ammo after the 4th shot. Use this window to jump him and burst him down.",Mana,Marksman_Mage,10,2,6,6,Whisper,"Jhin's hand cannon, Whisper, is a precise instrument designed to deal superior damage. It fires at a fixed rate and carries only four shots. Jhin imbues the final bullet with dark magics to critically strike and deal bonus execute damage. Whenever Whisper crits, it inspires Jhin with a burst of Move Speed.",585.0,93,300.0,50.0,330,24,3.5,30.0,0.5,550,3.75,0.55,6.0,0.8,0,0,59.0,4.7,0.0,0.625
jinx,Jinx,the Loose Cannon,"A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx despises boredom, and gleefully brings her own chaotic brand of pandemonium wherever she goes.","A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...",222,Rockets aren't always the best choice! Jinx's minigun is incredibly powerful when fully ramped up. Switch to it whenever an enemy champion gets too close._Jinx's rockets deal full damage to all enemies in the explosion. Use them on minions in lane to hit nearby enemy champions without drawing minion aggro._When a fight starts try to stay on the edge of fray by poking with rockets and Zap!. Do not run in and unload with the minigun until you feel it is safe.,Jinx's minigun takes time to ramp up. If you see her poking with rockets try to jump on her and burst her down._Jinx's ultimate does less damage the closer you are to her._Jinx's snare grenades have a long cooldown and are her primary means of protecting herself. If she misses with them she will have a hard time escaping if engaged upon. ,Mana,Marksman,9,2,6,4,Get Excited!,"Jinx receives massively increased Move Speed and Attack Speed whenever she helps kill or destroy an enemy champions epic jungle monster, or structure.",610.0,86,245.0,45.0,325,26,3.5,30.0,0.5,525,3.75,0.5,6.7,1.0,0,0,57.0,3.4,1.0,0.625
kaisa,Kai'Sa,Daughter of the Void,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered into an uneasy symbiosis with a living Void carapace, the time will soon come when she must decide whether to forgive those mortals who would call her a monster, and defeat the coming darkness together… or simply to forget, as the Void consumes the world that left her behind.","Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",145,Try to catch enemy carries alone to burst them with Icathian Rain._Work with your teammates to set up your Ultimate and optimize damage with your passive._Make sure to buy items that will evolve at least 1 or 2 of your spells.,Kai'Sa is very good at picking off isolated enemies. Stick together against her._Kai'Sa is very vulnerable to getting outranged by mages and long range carries._Make sure to place wards in your blind spots so you can see Kai'Sa coming.,Mana,Marksman,8,5,6,3,Second Skin,"Kai'Sa's basic attacks stack Plasma, dealing increasing bonus magic damage. Allies' immobilizing effects help stack Plasma. Additionally, Kai'Sa's item purchases upgrade her basic spells to have more powerful properties.",600.0,88,344.88,38.0,335,28,3.0,30.0,0.5,525,3.5,0.55,8.2,0.45,0,0,59.0,2.0,1.8,0.644
kalista,Kalista,the Spear of Vengeance,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing to pay with their very souls. Those who become the focus of Kalista's wrath should make their final peace, for any pact sealed with this grim hunter can only end with the cold, piercing fire of her soul-spears.","A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",429,"Rend is a valuable last hitting aid, since its cooldown resets if it kills a target. _Entering a move order once to trigger Martial Poise will not clear Kalista's basic attack target._Due to her passive, Kalista's Movement Speed is effectively increased by Attack Speed.","Kalista's mobility is dependent upon attacking. This means it is low when she is outside of her attack range and that Attack Speed slows reduce the amount of distance she can cover in an engagement._Kalista cannot cancel her basic attack wind up. While she is very mobile, this offers a window to land spells on her if you anticipate when she will begin attacking._If you can break line of sight from Kalista, including through brush, her basic attacks will miss you, falling harmlessly to the ground.",Mana,Marksman,8,2,7,4,Martial Poise,Enter a movement command while winding up Kalista's basic attack or Pierce to lunge a short distance when she launches her attack.,534.0,100,250.0,45.0,325,21,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,0,0,69.0,3.5,4.0,0.694
karma,Karma,the Enlightened One,"No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can comprehend. She has done her best to guide her people in recent times of crisis, though she knows that peace and harmony may come only at a considerable cost—both to her, and to the land she holds most dear.","No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...",43,"Gathering Fire rewards aggressive play. Look to land abilities and basic attacks on your opponent to lower Mantra's cooldown and stay on the offensive._When using Focused Resolve, slow your opponents with Inner Flame or speed yourself up with Inspire if you're having trouble sticking to a target. _Don't be too conservative with Mantra. Gathering Fire is strongest in teamfights, making it easy to recharge Mantra multiple times.",Karma's passive lowers her Mantra cooldown when she hits enemy champions with abilities and basic attacks. Deny her from getting free hits on you._Karma's Soulflare erupts for bonus damage in the area in which it's placed. React quickly and escape the circle to avoid taking heavy damage._Focused Resolve is a strong disengage tool. Create distance to avoid being rooted and seek to engage afterwards.,Mana,Mage_Support,1,7,5,8,Gathering Fire,"After using 5 spells or attacks, Karma's next ability will be enhanced.",534.0,95,374.0,50.0,335,28,3.8,30.0,0.5,525,5.5,0.55,13.0,0.5,0,0,51.0,3.3,2.3,0.625
karthus,Karthus,the Deathsinger,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of life and death. When Karthus emerges from the Shadow Isles, it is to bring the joy of death to mortals, an apostle of the unliving.","The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...",30,Ask your allies to help point out when you should use Requiem to get kills in different lanes._Lay Waste is very strong at farming minions and harassing enemy champions.,"Karthus can cast spells for a short duration after he is killed. Move away from his corpse to be safe._Make sure you always have enough health to survive Requiem, even if you have to go back to the base more frequently to heal.",Mana,Mage,2,2,7,10,Death Defied,"Upon dying, Karthus enters a spirit form that allows him to continue casting spells.",550.0,87,467.0,30.5,335,18,3.5,30.0,0.5,450,6.5,0.55,8.0,0.8,0,0,46.0,3.25,2.11,0.625
kassadin,Kassadin,the Void Walker,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was consumed by the Void. He vowed vengeance, combining a number of arcane artifacts and forbidden technologies for the struggle ahead. Finally, Kassadin set out for the wastelands of Icathia, ready to face any monstrous Void-construct in his search for their self-proclaimed prophet, Malzahar.","Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...",38,"Kassadin has multiple item paths; he can go caster via Mana and Ability Power or anti-caster with Cooldown Reduction and Magic Resist._Kassadin's ultimate has many uses and is on a shorter cooldown than most, use it often._Try to get the Ancient Golem buff to counteract Riftwalk's increasing Mana cost.","Kassadin deals mostly magic damage. If he's doing well consider buying magic resist items like Mercury's Treads and Banshee's Veil._Each time Kassadin consecutively uses Riftwalk, he pays more and more mana. Keep this in mind as you chase him._It takes 6 spell casts for Kassadin's slow, Force Pulse, to become castable. If he levels up that ability, judiciously use your own skills while laning against him.",Mana,Assassin_Mage,3,5,8,8,Void Stone,Kassadin takes reduced magic damage and ignores unit collision.,576.0,105,400.0,87.0,335,19,2.8,30.0,0.5,150,6.0,0.5,6.0,0.8,0,0,59.0,3.9,3.7,0.64
katarina,Katarina,the Sinister Blade,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven her to pursue heavily-guarded targets, even at the risk of endangering her allies—but no matter the mission, Katarina will not hesitate to execute her duty amid a whirlwind of serrated daggers.","Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...",55,"Picking up Daggers will significantly reduce Shunpo's cooldown._Try waiting until the other team is distracted with fighting your team, and use Shunpo to teleport into the fray and unleash a devastating Death Lotus._Using Shunpo on an allied Champion, Dagger, or minion can be a great escape tactic.","Katarina's abilities deal magic damage, so even if she's building Attack Damage items, get magic resistance to counter her._Try to save a disable for when Katarina uses her Death Lotus.",None,Assassin_Mage,4,3,8,9,Voracity,"Whenever an enemy champion dies that Katarina has damaged recently, her remaining ability cooldowns are dramatically reduced.<br><br>If Katarina picks up a <font color='#FFF673'>Dagger</font>, she uses it to slash through all nearby enemies, dealing magic damage.",602.0,94,0.0,0.0,335,28,3.5,32.0,1.25,125,7.5,0.7,0.0,0.0,0,0,58.0,3.2,2.74,0.658
kayle,Kayle,the Righteous,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned with the repeated failings of mortals, and abandoned this realm altogether. Still, legends are told of her punishing the unjust with her fiery swords, and many hope that she will one day return…","Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...",10,"Using Divine Judgment on a high-DPS ally can turn the tides of battle by giving your ally free reign to attack. _Kayle's attacks become incredibly powerful once she gains attack range from Divine Ascent. Play safe until then. _Kayle benefits greatly from Attack Damage and Ability Power, making hybrid items like Nashor's Tooth and Hextech Gunblade very effective on her.","Divine Judgment only grants Kayle or her allies immunity to damage. Slows and stuns can still be applied, so trap them if they're being overzealous._Kayle is usually a fragile target. If you see her ultimate cast on an ally, switch to attacking her._Kayle starts the game as a weaker melee champion. Try to put her behind before she ascends to her ranged form.",Mana,Fighter_Support,6,6,7,7,Divine Ascent,"Kayle's attacks are empowered by the heavens as she levels up and spends skill points. Her wings are lit aflame as she progressively gains Attack Speed, Movement Speed, Attack Range, and waves of fire on her attacks.",600.0,85,330.0,50.0,335,26,3.0,26.0,0.5,175,5.0,0.5,8.0,0.8,0,0,50.0,2.5,1.5,0.625
kayn,Kayn,the Shadow Reaper,"A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of his body and mind. There are only two possible outcomes: either Kayn bends the weapon to his will... or the malevolent blade consumes him completely, paving the way for the destruction of all Runeterra.","A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...",141,Look at the line-up of both your team and the enemy's team when picking your form._Remember that nearby enemies can see which wall you're in.,"Umbral Trespass requires Kayn to damage a target first. Try to dodge Blade's Reach to deny him a long range cast of Umbral Trespass._When Kayn is in terrain near you, you will get a visual warning on the edge of the terrain he's in._Damage Kayn while he's in Shadow Step to shorten its duration, or apply hard crowd control (stun, charm, knockup, etc) to end Shadow Step immediately.",Mana,Fighter_Assassin,10,6,8,1,The Darkin Scythe,"Kayn wields an ancient weapon and fights Rhaast, the darkin within it, for control. Either the <font color='#fe5c50'>Darkin</font> will triumph, or Kayn will master Rhaast and become the <font color='#8484fb'>Shadow Assassin</font>.<br><br><font color='#fe5c50'>Darkin:</font> Heal for a percentage of spell damage dealt to champions.<br><br><font color='#8484fb'>Shadow Assassin:</font> For the first few seconds in combat with enemy champions, deal bonus damage.",585.0,85,410.0,50.0,340,38,3.3,32.0,1.25,175,8.0,0.75,11.5,0.95,0,0,68.0,3.3,2.7,0.669
kennen,Kennen,the Heart of the Tempest,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his master Shen, Kennen patrols the spirit realm, employing devastating electrical energy to strike down his enemies.","More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...",85,"You can stun your opponents by inflicting 3 Marks of the Storm upon them._Lightning Rush can be used to initiate fights with its Energy return component, allowing him to use other abilities afterward._You can land an initial Mark of the Storm debuff on an opponent with Thundering Shuriken, and then add to it with Electrical Surge.","Consider playing a bit more cautiously around Kennen when you have a Mark of the Storm debuff. If he hits you with 3 Marks of the Storm, you will get stunned._Kennen is flimsy by nature - turn and attack him if he gets careless with Lightning Rush.",Energy,Mage_Marksman,6,4,4,7,Mark of the Storm,Kennen stuns enemies he hits 3 times with his abilities.,541.0,84,200.0,0.0,335,29,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,0,0,48.0,3.75,3.4,0.625
khazix,Kha'Zix,the Voidreaver,"The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more effective ways to counter and kill its prey. Initially a mindless beast, Kha'Zix's intelligence has developed as much as its form. Now, the creature plans out its hunts, and even utilizes the visceral terror it engenders in its victims.","The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more...",121,Enemies are considered isolated if they have no allies within a short distance. The damage of Taste Their Fear is massively increased against these targets._Unseen Threat activates when Kha'Zix cannot be seen by the enemy team. Reactivate by using brush or Void Assault. Don't forget to apply Unseen Threat by autoattacking enemy champions._Kha'Zix has a great deal of freedom to choose where and when to fight. Pick your battles carefully to succeed.,"Taste Their Fear deals bonus damage to targets that are isolated. Gain an advantage by fighting near allied minions, champions, or turrets._Leap and Void Assault have long cooldowns. Kha'Zix is very vulnerable when these are not available.",Mana,Assassin,9,4,6,3,Unseen Threat,"Nearby enemies that are <font color='#FFF673'>Isolated</font> from their allies are marked. Kha'Zix's abilities have interactions with <font color='#FFF673'>Isolated</font> targets.<br><br>When Kha'Zix is not visible to the enemy team, he gains Unseen Threat, causing his next basic attack against an enemy champion to deal bonus magic damage and slow them for a few seconds.",573.0,85,327.0,40.0,350,36,3.0,32.0,1.25,125,7.5,0.75,7.59,0.5,0,0,63.0,3.1,2.7,0.668
kindred,Kindred,The Eternal Hunters,"Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his crushing jaws. Though interpretations of Kindred's nature vary across Runeterra, every mortal must choose the true face of their death.","Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...",203,Moving around between attacks while jungling will help you avoid damage and also generate more heals from Wolf's Frenzy._Pick which Hunts you want to pursue carefully; getting many of them is the key to success as the game goes on._Don't go in first to a large team fight. Wait for your teammates to initiate.,"Kindred is fragile - turn the pressure up on her, and she will be forced to play cautiously._Clear the Hunts Wolf activates on jungle camps to slow down Kindred's damage output._When Kindred uses Lamb's Respite get inside, it stops all champions from dying.",Mana,Marksman,8,2,4,2,Mark of the Kindred,Kindred can mark targets to Hunt. Successfully completing a Hunt permanently empowers Kindred's basic abilities. Every 4 hunts completed also increases Kindred's basic attack range.,540.0,85,300.0,35.0,325,29,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,0,0,65.0,2.5,3.5,0.625
kled,Kled,the Cantankerous Cavalier,"A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the legions have waged, has “acquired” every military title, and has never once backed down from a fight. Though the truth of the matter is often questionable, one part of his legend is undeniable: Charging into battle on his un-trusty steed, Skaarl, Kled fights to protect what's his… and to take whatever he can get.","A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...",240,"Kled generates some courage by killing minions, but gets much more from fighting Champions._The last hit of Violent Tendencies deals more damage than the first three - make sure you hit it!_Chaaaaaaaarge!!! can be cast at a great range. Try and predict where the enemy team will be by the time you reach them.","Kled generates courage by damaging enemies with his Pocket Pistol and basic attacks, killing minions, and attacking structures or epic monsters._Watch Kled's courage bar when he's off his mount - when it reaches 100%, he will remount and regain a significant amount of health._Kled is much more threatening when he has Violent Tendencies ready.",Courage,Fighter_Tank,8,2,7,2,"Skaarl, the Cowardly Lizard","Kled rides his trusty steed, Skaarl, who takes damage for him. When Skaarl's health depletes, Kled dismounts.<br><br>While dismounted, Kled's abilities change and he deals less damage to champions. Kled can restore Skaarl's courage by fighting enemies. At maximum courage, Kled remounts with a portion of Skaarl's health.",340.0,70,100.0,0.0,345,35,4.0,28.0,1.25,125,6.0,0.75,0.0,0.0,0,0,65.0,3.5,3.5,0.625
kogmaw,Kog'Maw,the Mouth of the Abyss,"Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it. Though not inherently evil, Kog'Maw's beguiling naiveté is dangerous, as it often precedes a feeding frenzy—not for sustenance, but to satisfy its unending curiosity.","Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it...",96,Kog'Maw can outrange most champions with his Bio-Arcane Barrage ability._Use Void Ooze to set up a perfect Living Artillery._Make the most out of your Icathian Surprise.,"Kog'Maw doesn't have a good escape ability, so he is especially prone to ganks._Run away from Kog'Maw after he dies!!!!_The range on Living Artillery increases each rank._Bio-Arcane Barrage allows Kog'Maw to kill Baron Nashor extremely early. It can be valuable to ward Nashor when Kog'Maw completes his Blade of the Ruined King.",Mana,Marksman_Mage,8,2,6,5,Icathian Surprise,"4 seconds after dying, Kogmaw explodes, dealing true damage to surrounding enemies.",565.0,85,325.0,40.0,330,24,3.25,30.0,0.5,500,3.75,0.55,8.75,0.7,0,0,61.0,3.11,2.65,0.665
