key,ability,ability_name,description,tooltip,maxrank,cooldown,cost,maxammo,range
114,R,Grand Challenge,"Fiora reveals all four Vitals on an enemy champion and gains movement speed while near them. If Fiora hits all 4 Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.","<spellPassive>Passive:</spellPassive> <spellName>Duelist's Dance</spellName> <speed>Move Speed</speed> bonus is increased to {{ percentms }}%.<br /><br /><spellActive>Active:</spellActive> Fiora reveals all 4 <keywordMajor>Vitals</keywordMajor> on a champion for a max of <trueDamage>{{ spell.fiorapassive:rdamagetotal }} max Health true damage</trueDamage> and gains <spellName>Duelist's Dance</spellName>'s Move Speed bonus while near the target.<br /><br />If Fiora strikes all 4 <keywordMajor>Vitals</keywordMajor> within {{ markduration }} seconds or if the target dies after she has hit at least one, Fiora restores <healing>{{ healpersecondcalc }} Health per second</healing> to surrounding allied champions for between {{ minhealduration }} to {{ healduration }} seconds, scaling with the number of <keywordMajor>Vitals</keywordMajor> hit.",3,110_90_70,100_100_100,-1,500
105,Q,Urchin Strike,"Fizz dashes through his target, dealing magic damage and applying on hit effects.","Fizz dashes through an enemy, dealing <physicalDamage>{{ totaldamage }} physical damage</physicalDamage> plus <magicDamage>{{ qdamage }} magic damage</magicDamage>.",5,8_7.5_7_6.5_6,50_50_50_50_50,-1,550
105,W,Seastone Trident,"Fizz's attacks bleed his enemies, dealing magic damage over several seconds. Fizz can empower his next attack to deal bonus damage and empower his further attacks for a short time.","<spellPassive>Passive</spellPassive>: Fizz's Attacks cause his enemies to bleed, dealing <magicDamage>{{ dotdamage }} magic damage</magicDamage> over {{ bleedduration }} seconds. <br /><br /><spellActive>Active</spellActive>: Fizz's next Attack deals an additional <magicDamage>{{ activedamage }} magic damage</magicDamage>. If this Attack kills its target, Fizz refunds <scaleMana>{{ onkillmanarefund }} Mana</scaleMana> and reduces the cooldown of this Ability to {{ onkillnewcooldown }} second. If it does not kill, Fizz's Attacks deal an additional <magicDamage>{{ onhitbuffdamage }} magic damage</magicDamage> for {{ onhitbuffduration }} seconds.",5,7_6.5_6_5.5_5,30_40_50_60_70,-1,600
105,E,Playful / Trickster,"Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.","Fizz hops onto his trident, becoming Untargetable for 0.75 seconds, after which he deals <magicDamage>{{ edamage }} magic damage</magicDamage> to nearby enemies and <status>Slows</status> them by {{ e2 }}% for {{ e4 }} seconds. <br /><br />Fizz can <recast>Recast</recast> this Ability while Untargetable to dash again, which ends the effect early, deals damage in a smaller area, and doesn't <status>Slow</status>.",5,16_14_12_10_8,90_95_100_105_110,-1,400
105,R,Chum the Waters,"Fizz tosses a fish in a direction that attaches to any champion that touches it, slowing the target. After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.","Fizz launches a fish that attaches to the first champion hit. The victim is afflicted with <keywordStealth>True Sight</keywordStealth> and <status>Slowed</status> by between 40% to 80% based on how far the fish travelled before attaching. <br /><br />After {{ detonationtime }} seconds a shark erupts on the target, <status>Knocking Up</status> the target with the fish for 1 second, <status>Knocking Back</status> everything else, and dealing between <magicDamage>{{ smallsharkdamage }} to {{ bigsharkdamage }} magic damage</magicDamage> based on how far the fish travelled before attaching.",3,100_85_70,100_100_100,-1,1300
3,Q,Winds of War,Galio fires two windblasts that converge into a large tornado that deals damage over time.,"Galio fires two windblasts that deal <magicDamage>{{ qmissiledamage }} magic damage</magicDamage> each. When the windblasts meet, they combine into a tornado that deals <magicDamage>{{ percentsuperqdamagett }}% max Health magic damage</magicDamage> over {{ superqduration }} seconds.",5,12_11.5_11_10.5_10,70_75_80_85_90,-1,825
3,W,Shield of Durand,"Galio charges a defensive stance, moving slowly. Upon releasing the charge, Galio will taunt and damage nearby enemies.","<spellPassive>Passive:</spellPassive> Galio gains a <shield>{{ totalpassiveshield }} Magic Shield</shield> after not taking damage for {{ passiveshieldooctimer }} seconds.<br /><br /><charge>Begin Charging:</charge> Galio reduces incoming magic damage by {{ magicdamagereduction }} and incoming physical damage by {{ physicaldamagereduction }} and <status>Slows</status> himself by {{ e3 }}%.<br /><br /><release>Release:</release> Galio <status>Taunts</status> enemy champions for between {{ e4 }} to {{ e7 }} seconds, deals between <magicDamage>{{ mintotaldamage }}</magicDamage> and <magicDamage>{{ maxtotaldamage }} magic damage</magicDamage>, and refreshes the damage reduction for {{ e8 }} seconds. Taunt duration, damage, and range increase with charge time.",5,18_17.5_17_16.5_16,50_50_50_50_50,-1,275
3,E,Justice Punch,"Galio will briefly step back and charge, knocking up the first enemy champion he encounters.","Galio lunges forward with a mighty blow, <status>Knocking Up</status> for {{ knockupduration }} seconds and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to the first champion hit. Other enemies in the way take <magicDamage>{{ pvedamage }} magic damage</magicDamage>.<br /><br />Galio's dash stops on hitting terrain.",5,12_11_10_9_8,50_50_50_50_50,-1,650
3,R,Hero's Entrance,"Galio designates an ally's position as his landing spot, granting all allies in the area a magic shield. After a delay Galio smashes down location, knocking up nearby enemies.","Galio designates an allied champion's position as his landing spot, granting all allied champions in the area <spellName>Shield of Durand's</spellName> passive <shield>Shield</shield> for {{ temporarywshieldduration }} seconds. Galio then flies to his landing zone.<br /><br />When Galio lands, he <status>Knocks Up</status> for {{ stundurationouter }} seconds and deals <magicDamage>{{ totaldamage }} magic damage</magicDamage>.",3,200_180_160,100_100_100,-1,4000/4750/5500
41,Q,Parrrley,"Shoots target, plundering Gold for each enemy unit killed.","Gangplank fires a bullet dealing <physicalDamage>{{ shotdamage }} physical damage</physicalDamage>. If this kills the target, Gangplank gains an additional {{ e2 }} Gold and {{ e5 }} Silver Serpents. <br /><br />Gangplank can spend Silver Serpents in the shop to upgrade <spellName>Cannon Barrage</spellName>.",5,4.5_4.5_4.5_4.5_4.5,55_50_45_40_35,-1,625
41,W,Remove Scurvy,Eats citrus to cure crowd control effects and restore Health.,"Gangplank consumes a large amount of citrus fruit, removing all <status>Disabling</status> effects and restoring <healing>{{ basehealth }} plus {{ e2 }}% missing Health</healing>.",5,22_20_18_16_14,80_90_100_110_120,-1,400
41,E,Powder Keg,"Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.","Gangplank places a powder keg that can be attacked by Gangplank and enemy champions for {{ e5 }} seconds. When an enemy destroys it, the keg is defused. When Gangplank destroys it, it explodes, <status>Slowing</status> by {{ e4 }}% for {{ e2 }} seconds and dealing the <physicalDamage>Attack's damage</physicalDamage>, ignoring {{ e0 }}% Armor. Champions take an additional <physicalDamage>{{ e3 }} physical damage</physicalDamage>.<br /><br />Keg health decays every {{ f5 }} seconds. Keg explosions detonate other kegs with overlapping blast zones, but don't deal damage to the same target more than once. Keg explosions triggered by <spellName>Parrrley</spellName> will grant the bonus gold for targets killed.",5,0_0_0_0_0,0_0_0_0_0,3,1000
41,R,Cannon Barrage,"Gangplank signals his ship to bombard an area, slowing and damaging enemies.",Gangplank signals his ship to fire {{ f3 }} waves of cannonballs anywhere on the map over {{ e3 }} seconds. Each wave <status>Slows</status> by {{ e2 }}% for {{ e6 }} seconds and deals <magicDamage>{{ onewavedamage }} magic damage</magicDamage>.<br /><br />This Ability can be upgraded in the shop via <spellName>Parrrley</spellName>.,3,180_160_140,100_100_100,-1,30000
86,Q,Decisive Strike,"Garen gains a burst of Move Speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.",Garen removes all <status>Slowing</status> effects on him and gains <speed>{{ movementspeedamount*100 }}% Move Speed</speed> for {{ movementspeedduration }} second(s).<br /><br />His next Attack <status>Silences</status> for {{ silenceduration }} seconds and does <physicalDamage>{{ totaldamage }} physical damage</physicalDamage>.,5,8_8_8_8_8,0_0_0_0_0,-1,300
86,W,Courage,Garen passively increases his armor and magic resist by killing enemies. He may also activate this ability to give him a shield and tenacity for a brief moment followed by a lesser amount of damage reduction for a longer duration.,"<spellPassive>Passive:</spellPassive> Killing units permanently grants <scaleArmor>{{ resistgainonkill }} Armor</scaleArmor> and <scaleMR>{{ resistgainonkill }} Magic Resist</scaleMR>, up to a max of {{ resistmax }}. At max stacks, Garen gains <scaleArmor>{{ percentarmor }} Armor</scaleArmor> and <scaleMR>{{ percentmr }} Magic Resist</scaleMR>.<br /><br /><spellActive>Active:</spellActive> Garen steels his courage for {{ drduration }} seconds, reducing incoming damage by {{ drpercent*100 }}%. He also gains <shield>{{ totalshield }} Shield</shield> and {{ upfronttenacity*100 }}% Tenacity for {{ upfrontduration }} seconds.",5,23_21_19_17_15,0_0_0_0_0,-1,0
86,E,Judgment,"Garen rapidly spins his sword around his body, dealing physical damage to nearby enemies.","Garen rapidly spins his sword for {{ duration }} seconds, dealing <physicalDamage>{{ totaldamage }} physical damage</physicalDamage> {{ f1 }} times over the duration. The nearest enemy takes <physicalDamage>{{ totaldamagenearest }} physical damage</physicalDamage> per strike instead.<br /><br />Champions hit by {{ stackstoshred }} strikes lose <scaleArmor>{{ shredamount*100 }}% Armor</scaleArmor> for {{ shredduration }} seconds.",5,9_9_9_9_9,0_0_0_0_0,-1,325
86,R,Demacian Justice,Garen calls upon the might of Demacia to attempt to execute an enemy champion.,"Garen calls upon the might of Demacia to slay his enemy, dealing <trueDamage>{{ basedamage }} plus {{ executedamage*100 }}% missing Health true damage</trueDamage>.",3,120_100_80,0_0_0,-1,400
150,Q,Boomerang Throw / Boulder Toss,"Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced.<br><br>Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. It can then be picked up to reduce the cooldown.","<keywordMajor>Mini Gnar:</keywordMajor> Gnar throws a boomerang that deals <physicalDamage>{{ spell.gnarq:minitotaldamage }} physical damage</physicalDamage> and <status>Slows</status> by {{ spell.gnarq:slowamount*100 }}% for {{ spell.gnarq:slowduration }} seconds. The boomerang returns after hitting an enemy, dealing reduced damage to subsequent targets. Each enemy can only be hit once. Catching the boomerang reduces its Cooldown by {{ spell.gnarq:minicdrefund*100 }}%.",5,20_17.5_15_12.5_10,0_0_0_0_0,-1,1100
150,W,Hyper / Wallop,"Gnar's attacks and spells hype him up, dealing bonus damage and granting him Movement Speed.<br><br>Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.",<keywordMajor>Mini Gnar Passive:</keywordMajor> Every third Attack or Ability on the same enemy deals an additional <magicDamage>{{ spell.gnarw:minitotaldamage }} plus {{ spell.gnarw:minipercenthpdamage*100 }}% max Health magic damage</magicDamage> and grants <speed>{{ spell.gnarr:rhypermovementspeedpercent }}% Move Speed</speed> decaying over 3 seconds.,5,7_7_7_7_7,0_0_0_0_0,-1,0
150,E,Hop / Crunch,"Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further.<br><br>Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.","<keywordMajor>Mini Gnar:</keywordMajor> Gnar leaps, gaining <attackSpeed>{{ spell.gnare:minibas*100 }}% Attack Speed</attackSpeed> for {{ spell.gnare:miniasduration }} seconds. If Gnar lands on a unit he will bounce off it, traveling further. Bouncing off an enemy deals <physicalDamage>{{ spell.gnare:minitotaldamage }} physical damage</physicalDamage> and briefly <status>Slows</status> by {{ spell.gnare:movespeedmod*-100 }}%.",5,22_19.5_17_14.5_12,0_0_0_0_0,-1,475
150,R,GNAR!,"Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them.  Any enemy that hits a wall is stunned and takes bonus damage.","<keywordMajor>Mini Gnar Passive:</keywordMajor> Increase <spellName>Hyper's</spellName> <speed>Move Speed</speed>.<br /><br /><keywordMajor>Mega Gnar:</keywordMajor> Gnar tosses nearby enemies, dealing <physicalDamage>{{ damage }} physical damage</physicalDamage>, <status>Knocking Back</status>, and <status>Slowing</status> them by {{ rslowpercent }}% for {{ rccduration }} seconds. Enemies that hit a wall instead take <physicalDamage>{{ walldamage }} physical damage</physicalDamage> and are <status>Stunned</status>.",3,90_60_30,0_0_0,-1,590
79,Q,Barrel Roll,"Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. The potency of the explosion increases over time. Enemies struck by the blast have their Move Speed slowed.","Gragas rolls a cask that explodes after {{ e4 }} seconds, dealing between <magicDamage>{{ mindamage }} magic damage</magicDamage> and <magicDamage>{{ maxdamage }} magic damage</magicDamage> and <status>Slowing</status> for between {{ e2 }} and {{ effect2amount*1.5 }}% for {{ e3 }} seconds. The damage and <status>Slow</status> increase with time the cask spent before exploding. <br /><br />Gragas can <recast>Recast</recast> to detonate the cask early.",5,11_10_9_8_7,80_80_80_80_80,-1,850
79,W,Drunken Rage,"Gragas guzzles down brew from his cask for 1 second. After finishing, he becomes drunkenly empowered, dealing magic damage to all nearby enemies on his next basic attack and reducing damage received.","Gragas guzzles his brew, reducing incoming damage by {{ damagereduction }} for {{ e5 }} seconds. After finishing his drink, his next Attack deals an additional <magicDamage>{{ totaldamage }}</magicDamage> plus <magicDamage>7% max Health magic damage</magicDamage> to the target and surrounding enemies.",5,5_5_5_5_5,30_30_30_30_30,-1,20
79,E,Body Slam,"Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.","Gragas charges forward, colliding with the first enemy, <status>Knocking Up</status> nearby enemies for {{ e2 }} second and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to them.<br /><br />This Ability's Cooldown is reduced by {{ f1 }} seconds if Gragas collides with an enemy.",5,16_15_14_13_12,50_50_50_50_50,-1,600
79,R,Explosive Cask,"Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.","Gragas hurls his cask, dealing <magicDamage>{{ damagedone }} magic damage</magicDamage> and <status>Knocking Away</status> enemies from the impact zone.",3,120_100_80,100_100_100,-1,1000
104,Q,End of the Line,"Graves fires an explosive shell that detonates after 2 seconds, or 0.2 seconds if it strikes terrain.","Graves fires a powder round dealing <physicalDamage>{{ totaldamage }} physical damage</physicalDamage>. After 1 second or after colliding with terrain, it detonates, dealing <physicalDamage>{{ totaldetonationdamage }} physical damage</physicalDamage> along the travel path again and to enemies near the blast.",5,12_11_10_9_8,80_80_80_80_80,-1,925
104,W,Smoke Screen,Graves fires a smoke canister at the target area creating a cloud of smoke that reduces sight range. Enemies caught in the initial impact are dealt magic damage and have their movement speed reduced briefly.,"Graves creates a cloud of black smoke for 4 seconds, <status>Slowing</status> enemies inside by {{ e2 }}% and blocking their vision outside the area. The initial impact deals <magicDamage>{{ impactdamage }} magic damage</magicDamage>.",5,26_24_22_20_18,70_75_80_85_90,-1,950
104,E,Quickdraw,"Graves dashes forward gaining an Armor boost for several seconds. If Graves dashes towards an enemy champion, gain two stacks of True Grit instead. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost.",Graves dashes and reloads one <keywordMajor>Shell</keywordMajor> into his shotgun. He also gains a stack for 4 seconds (max {{ e0 }} stacks) or two stacks if he dashes towards an enemy champion. Stacks grant him <scaleArmor>{{ e5 }} Armor</scaleArmor>. Stacks are refreshed when damaging a non-minion.<br /><br />Each bullet hit from Graves' Attacks reduces this Ability's Cooldown by {{ e4 }} seconds.<br />,5,16_15_14_13_12,40_40_40_40_40,-1,425
104,R,Collateral Damage,"Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone.","Graves fires an explosive cartridge, blasting himself backwards. The cartridge deals <physicalDamage>{{ damage }} physical damage</physicalDamage> to the first enemy hit. After hitting an enemy champion or reaching the end of its range, the cartridge explodes outward, dealing <physicalDamage>{{ falloffdamage }} physical damage</physicalDamage>.",3,120_90_60,100_100_100,-1,1000
887,Q,Snip Snip!,Gwen snips her scissors in a cone up to 6 times dealing magic damage. Gwen deals true damage to units in the center and applies her passive to them on each snip.,"<spellPassive>Passive</spellPassive>: Gwen gains 1 stack when she hits an enemy with an attack (max 4, lasts {{ buffduration }} seconds).<br /><br /><spellActive>Active</spellActive>: Consumes stacks. Gwen snips once for <magicDamage>{{ miniswipedamage }} magic damage</magicDamage>, snips again for each ammo consumed, and then snips a final time for <magicDamage>{{ finalswipedamage }} magic damage</magicDamage>. <br /><br />The center of each strikes deals <trueDamage>true damage</trueDamage> instead and applies <spellName>A Thousand Cuts</spellName> to enemies hit.",5,6.5_5.75_5_4.25_3.5,40_40_40_40_40,-1,450
887,W,Hallowed Mist,Gwen summons mist that protects her from enemies outside of it. She can only be targeted by enemies who enter the mist.,"Gwen summons the Hallowed Mist, making her Untargetable to all enemies (except towers) outside the zone for {{ zoneduration }} seconds or until she leaves it. While in the Mist, Gwen gains {{ totalresists }} <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR>.<br /><br />Gwen can <recast>Recast</recast> this Ability once to call the Mist to her. This will automatically <recast>Recast</recast> the first time Gwen attempts to leave the zone.",5,22_20_18_16_14,60_60_60_60_60,-1,0
887,E,Skip 'n Slash,"Gwen dashes a short distance then gains Attack Speed, attack range, and magic damage <OnHit>On-Hit</OnHit> for a few seconds. If she hits an enemy during that time, this Ability's cooldown is partially refunded. ","Gwen dashes and empowers her Attacks for {{ buffduration }} seconds.<br /><br />Empowered Attacks gain <attackSpeed>{{ bonusattackspeed }} Attack Speed</attackSpeed>, <magicDamage>{{ onhitdamage }} magic damage</magicDamage> %i:OnHit% <OnHit>On-Hit</OnHit>, {{ bonusattackrange }} range, and the first one to hit an enemy refunds {{ cdrefund*100 }}% of this Ability's Cooldown.",5,13_12_11_10_9,35_35_35_35_35,-1,400
887,R,Needlework,"Gwen hurls a needle that slows enemies hit, deals magic damage, and applies A Thousand Cuts to champions hit. <br><br>This ability can be cast up to two more times, with each cast throwing additional needles and dealing more damage. Gwen must hit an enemy between each cast to unlock the next one. ","<spellActive>First Cast:</spellActive> Hurl a needle that deals <magicDamage>{{ totaldamage }} magic damage</magicDamage>, <status>Slows</status> by {{ initialslow*-100 }}% for {{ debuffduration }} seconds, and applies <spellName>A Thousand Cuts</spellName> to all enemies hit. If Gwen hits an enemy with an Attack or Ability within 6 second of casting this, she can <recast>Recast</recast> it (up to 2 additional times).<br /><br /><recast>Second Cast:</recast> Fire three needles to deal <magicDamage>{{ totaldamage3 }} magic damage</magicDamage><br /><recast>Third Cast:</recast> Fire five needles to deal <magicDamage>{{ totaldamage5 }} magic damage</magicDamage>",3,120_100_80,100_100_100,-1,1200
120,Q,Rampage,"Hecarim cleaves nearby enemies dealing physical damage. If Hecarim damages at least one enemy, he increases the damage and lowers the cooldown of subsequent Rampages.","Hecarim cleaves nearby enemies for <physicalDamage>{{ damage }} physical damage</physicalDamage>. If this Ability hits, he gains a stack that decreases its Cooldown by {{ rampagecooldownreduction }} second and increases its damage by {{ rampagebonusdamageperc }}% for {{ e6 }} seconds. Stacks up to {{ maxstacks }} times.",5,4_4_4_4_4,28_31_34_37_40,-1,350
120,W,Spirit of Dread,Hecarim deals magic damage to nearby enemies for a short duration. Hecarim gains Health equal to a percentage of any damage those enemies suffer.,"Hecarim deals <magicDamage>{{ totaldamage }} magic damage</magicDamage> over {{ buffduration }} seconds to nearby enemies, and heals for <healing>{{ leechamount }}% of damage</healing> these enemies take from Hecarim and <healing>{{ allytooltipleachvalue }}% of damage</healing> taken from his allies.",5,18_18_18_18_18,50_60_70_80_90,-1,525
120,E,Devastating Charge,Hecarim gains increasing Move Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.,Hecarim becomes Ghosted and gains <speed>{{ minmovespeed*100 }}% Move Speed</speed> increasing to <speed>{{ maxmovespeed*100 }}%</speed> over {{ e5 }} seconds. His next Attack <status>Knocks Back</status> and deals between <physicalDamage>{{ mindamage }}</physicalDamage> and <physicalDamage>{{ maxdamage }} physical damage</physicalDamage>. <status>Knock Back</status> distance and damage scales with distance travelled during this Ability.,5,20_19_18_17_16,60_60_60_60_60,-1,300
120,R,Onslaught of Shadows,"Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.","Hecarim summons spectral riders and charges forward, dealing <magicDamage>{{ damagedone }} magic damage</magicDamage>. Hecarim unleashes a shockwave at the end of the charge that <status>Fears</status> for between {{ feardurationmin }} to {{ feardurationmax }} seconds, increased by charge distance.",3,140_120_100,100_100_100,-1,50000
74,Q,H-28 G Evolution Turret,Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).,"Heimerdinger constructs a <keywordMajor>Turret</keywordMajor> that attacks nearby enemies. Heimerdinger can have {{ maxturrets }} turrets active at once. <keywordMajor>Turrets</keywordMajor> slowly build up charge. At max charge, they fire a stronger attack.<br /><br />If Heimerdinger gets too far away, his <keywordMajor>Turrets</keywordMajor> will deactivate after 8 seconds.<br /><br />This Ability has {{ maxkits }} charges.",5,1_1_1_1_1,20_20_20_20_20,3,350
74,W,Hextech Micro-Rockets,Heimerdinger fires long-range rockets that converge on his cursor.,Heimerdinger unleashes a barrage of {{ rockets }} rockets that deal <magicDamage>{{ damage }} magic damage</magicDamage> to the first enemy hit. Additional rocket hits deal reduced damage.<br /><br />Max Damage: <magicDamage>{{ totaldamage }} magic damage</magicDamage>.<br /><br />Nearby <keywordMajor>Turrets</keywordMajor> gain 20% charge per rocket that hits a champion.,5,11_10_9_8_7,50_60_70_80_90,-1,1325
74,E,CH-2 Electron Storm Grenade,"Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.",Heimerdinger hurls a grenade that deals <magicDamage>{{ damage }} magic damage</magicDamage> in an area and <status>Slows</status> by {{ slowpercent.0*100 }}% for {{ slowduration }} seconds. Enemies in the center are also <status>Stunned</status> for {{ stunduration }} seconds.<br /><br />Hitting a champion fully charges nearby <keywordMajor>Turrets</keywordMajor>.,5,12_12_12_12_12,85_85_85_85_85,-1,970
74,R,UPGRADE!!!,"Heimerdinger invents an upgrade, causing his next spell to have increased effects. ","Heimerdinger upgrades his next non-ultimate Ability.<br /><br /><spellName>H-28Q Apex Turret:</spellName> Place an upgraded <keywordMajor>Turret</keywordMajor> for 8 seconds that doesn't count towards Heimerdinger's max turrets, deals <magicDamage>{{ qultdamage }} magic damage</magicDamage> per shot and <magicDamage>{{ qultdamagebeam }} magic damage</magicDamage> per charged shot. Its attacks deal damage in an area, <status>Slow</status> by 25% for 2 seconds, and it is immune to crowd control.<br /><br /><spellName>Hextech Rocket Swarm:</spellName> Fires 4 waves of rockets that each deal <magicDamage>{{ wultdamage }} magic damage</magicDamage>. Champions and jungle monsters hit by additional rockets take reduced damage, and minions take increased damage. Max Damage: <magicDamage>{{ wulttotaldamage }} magic damage</magicDamage>. <br /><br /><spellName>CH-3X Lightning Grenade:</spellName> Throws a bouncing grenade that discharges three times, dealing <magicDamage>{{ eultdamage }} magic damage</magicDamage>. The <status>Stun</status> and <status>Slow</status> areas are larger.<br /><br /><recast>Recast:</recast> Cancel this Ability.",3,100_85_70,100_100_100,-1,1
420,Q,Tentacle Smash,"Increases the damage dealt by Tentacles. When activated, Illaoi smashes down a Tentacle that deals physical damage.","<passive>Passive:</passive> <keywordMajor>Slam</keywordMajor> damage is increased by <physicalDamage>{{ tentacledamageamp*100 }}%</physicalDamage> (currently <physicalDamage>{{ f1 }} physical damage</physicalDamage>).<br /><br /><active>Active:</active> Illaoi swings her idol, causing a Tentacle to <keywordMajor>Slam</keywordMajor> forward.",5,10_9_8_7_6,40_45_50_55_60,-1,850
420,W,Harsh Lesson,"Illaoi leaps to her target, dealing physical damage and causing nearby Tentacles to also swing at the target.","Illaoi's next Attack causes her to leap at the target, dealing an additional <physicalDamage>{{ healthpercenttotaltooltip }} max Health physical damage</physicalDamage>. When she strikes, nearby Tentacles will <keywordMajor>Slam</keywordMajor> at the target.",5,4_4_4_4_4,30_30_30_30_30,-1,400
420,E,Test of Spirit,"Illaoi rips the spirit from a foe's body, forcing it to stand before her. Spirits echo a percentage of the damage they take to the original target. If killed, or if the target gets too far from the spirit, the target will become a <font color='#669900'>Vessel</font> and begin spawning Tentacles.","Illaoi pulls the spirit from an enemy champion for {{ spiritduration }} seconds. The spirit can be damaged like a champion, with {{ echopercenttooltiponly }} of that damage echoing to its owner.<br /><br />If the spirit dies or the target leaves its range, the target becomes marked for {{ vesselduration }} seconds and is <status>Slowed</status> by {{ slowamount*100 }}% for {{ slowduration }} seconds. Marked enemies spawn Tentacles every <scaleLevel>{{ f1 }}</scaleLevel> seconds.<br /><br />Tentacles will automatically <keywordMajor>Slam</keywordMajor> at spirits and marked enemies once every {{ timebetweenvesseltentacleslams }} seconds.",5,16_15_14_13_12,35_40_45_50_55,-1,900
420,R,Leap of Faith,"Illaoi smashes her idol into the ground, dealing physical damage to nearby enemies. A Tentacle spawns for each enemy champion hit.","Illaoi smashes her idol into the ground, dealing <physicalDamage>{{ damagecalc }} physical damage</physicalDamage> to nearby enemies and spawning a Tentacle for each enemy champion hit.<br /><br />For the next {{ duration }} seconds, Tentacles are untargetable and <keywordMajor>Slam</keywordMajor> 50% faster, and <spellName>Harsh Lesson</spellName> has a 2 second cooldown.",3,120_95_70,100_100_100,-1,450
39,Q,Bladesurge,"Irelia dashes forward to strike her target, healing herself. If the target is Marked or dies to Bladesurge, its cooldown refreshes.","Irelia dashes to an enemy, dealing <physicalDamage>{{ championdamage }} physical damage</physicalDamage> and restoring <healing>{{ healamount }} Health</healing> to herself. If the enemy dies or was <keywordMajor>Unsteady</keywordMajor>, the Cooldown is refreshed.<br /><br />Deals {{ miniondamage }} damage to minions.",5,11_10_9_8_7,20_20_20_20_20,-1,600
39,W,Defiant Dance,Irelia charges a strike that deals more damage as she charges. She takes reduced physical damage during the charge.,"<charge>Begin Charging:</charge> Irelia enters a defensive stance for up to {{ maxduration }} seconds, becoming unable to act but reducing physical damage taken by {{ finalphysicaldr }}% and magic damage taken by {{ finalmagicdr }}%.<br /><br /><release>Release:</release> Irelia lashes out with her blades, dealing <physicalDamage>{{ mindamagecalc }} physical damage</physicalDamage> increased up to <physicalDamage>{{ maxdamagecalc }}</physicalDamage> based on charge time.",5,20_18_16_14_12,70_75_80_85_90,-1,825
39,E,Flawless Duet,"Irelia sends out two blades which converge on each other. Enemies caught in between are damaged, stunned and Marked.","Irelia throws a blade into the ground and can <recast>Recast</recast> for up to {{ buffduration }} seconds. <br /><br /><recast>Recast:</recast> Irelia throws a second blade, then they fly towards each other <status>Stunning</status> for {{ stunduration }} seconds and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>. Champions and large jungle monsters become <keywordMajor>Unsteady</keywordMajor> for {{ markduration }} seconds.",5,18_16.5_15_13.5_12,50_50_50_50_50,-1,850
39,R,Vanguard's Edge,Irelia fires a massive number of blades that explode outward upon hitting an enemy champion. Enemies hit by the blades are damaged and Marked. Afterwards the blades form a wall that will damage and slow enemies that walk through it.,"Irelia launches a barrage of blades, dealing <magicDamage>{{ missiledamage }} magic damage</magicDamage> and making champions and large jungle monsters <keywordMajor>Unsteady</keywordMajor> for {{ markduration }} seconds. The barrage explodes into a cage around the first champion hit for {{ zoneduration }} seconds. The cage deals <magicDamage>{{ zonedamage }} magic damage</magicDamage> and <status>Slows</status> by {{ slowamount }}% for {{ ccduration }} seconds.<br /><br /><passive>Bladesurge's base cooldown is reduced by {{ cooldownamount }} seconds.</passive>",3,140_120_100,100_100_100,-1,950
